n,cpu-time,wall-time
2621,3.052270,2.670736
5242,3.243037,3.052270
7863,3.688160,2.670736
10484,3.338420,2.289203
13105,3.281190,1.983976
15726,2.162025,1.780491
18347,2.398212,1.689650
20968,1.812285,1.716902
23589,1.568528,1.653313
26210,2.060282,1.602442
28831,1.560820,1.456765
31452,1.844080,1.557930
34073,1.848971,1.438089
36694,2.180193,1.498883
39315,1.678749,1.551571
41936,1.836131,1.478443
44557,2.132100,1.503692
47178,1.907669,1.526135
49799,2.188799,1.666700
52420,1.869515,1.545212
55041,2.325539,1.671481
57662,2.029066,1.526135
60283,1.957434,1.741785
62904,1.875874,1.701005
65525,1.648226,1.632965
68146,2.127784,1.804948
70767,1.879407,1.738098
73388,2.098436,1.703276
76009,1.920825,1.723480
78630,2.047565,1.678749
81251,2.079974,1.772286
83872,2.217665,1.728825
86493,2.011723,1.722683
89114,2.008663,1.817896
91735,2.539925,2.103886
94356,2.395184,2.056043
96977,2.031410,2.134527
99598,2.389606,2.158678
102219,2.347900,2.142459
104840,2.594430,2.365509
107461,2.438094,2.298508
110082,2.361876,2.252866
112703,2.413423,2.422296
115324,2.427942,2.349901
117945,2.619865,2.509644
120566,2.264320,2.679031
123187,2.086259,2.354145
125808,2.011001,2.559456
128429,2.476076,2.647377
131050,2.380771,2.342617
133671,2.259278,2.655774
136292,2.289203,2.744108
138913,2.677935,2.627544
141534,2.910961,2.875634
144155,2.719295,2.580556
146776,2.255137,2.725241
149397,2.690817,2.985334
152018,1.999763,2.591798
154639,2.703070,2.922937
157260,1.939463,2.410022
159881,2.370513,2.745792
162502,2.424586,2.775350
165123,2.652568,2.755522
167744,2.485931,2.784004
170365,2.177677,2.658997
172986,2.283422,2.711202
175607,2.539762,2.881434
178228,2.564131,2.833449
180849,2.637560,2.609912
183470,2.872404,2.910558
186091,2.982412,2.917927
188712,2.395184,2.819111
191333,2.503489,2.968646
193954,2.320138,2.562463
196575,2.635127,2.787740
199196,2.500050,2.786201
201817,2.522087,2.754971
204438,2.465295,2.690302
207059,2.511361,2.680395
209680,2.694582,3.004578
212301,2.647185,2.604792
214922,2.507887,2.642819
217543,2.500655,2.615575
220164,2.552643,2.816083
222785,2.639316,2.778464
225406,2.408986,2.675173
228027,2.486548,2.675122
230648,2.610038,2.909195
233269,2.537843,2.692171
235890,2.463012,2.810632
238511,2.742012,2.976802
241132,2.409469,2.629265
243753,2.666634,2.580481
246374,2.751914,2.820915
248995,2.377558,2.473945
251616,2.483944,2.710479
254237,2.647136,2.623536
256858,2.682416,2.900435
259479,2.736252,2.874992
262100,2.773750,2.743228
